lb	mle	ub	ce	Z	cZ
Ftl2	2.09944329515095	2.87066736275743	3.59904564883022	2.09944329515095	6.51075938386326	5.79532970425189
RNA_SPIKE_5	3.21343361502697	9.72599240814828	10.3686791311537	3.21343361502697	6.47679944542601	5.76006452348407
Lrrc34	3.89896611956606	5.56995159938008	6.64109613772241	3.89896611956606	6.47081252476506	5.75602994534557
Mt2	2.3993637658868	3.59904564883022	4.79872753177362	2.3993637658868	6.45595181286056	5.74203772579546
Hsf2bp	3.0420504888922	4.58449862410515	5.95556363318332	3.0420504888922	6.43668720442187	5.72308500954688
Gsto1	-5.14149378404313	-3.89896611956606	-2.65643845508896	-2.65643845508896	-6.38419867099509	-5.66690684527022
L1td1	3.21343361502697	4.54165284257145	5.78418050704855	3.21343361502697	6.29664339154143	5.57126244499386
Col1a2	-5.3557226917116	-4.07034924570083	-2.82782158122373	-2.82782158122373	-6.27743323260679	-5.55222822622135
B2m	-4.67019018717252	-3.47050830422911	-2.3993637658868	-2.3993637658868	-6.26160078542397	-5.53695486375695
Ooep	3.17058783349327	4.71303596870622	6.1269467593181	3.17058783349327	6.24028785723017	5.51548789983071
App	-4.75588175023992	-3.55619986729651	-2.44220954742049	-2.44220954742049	-6.21548316474135	-5.49005756675416
Gmnn	2.87066736275743	4.2417323718356	5.65564316244745	2.87066736275743	6.20718807980981	5.48316443539415
Ahnak	-4.45596127950408	-3.34197095962804	-2.31367220281942	-2.31367220281942	-6.19449330381951	-5.47129298348041
Lgals1	-4.67019018717252	-3.55619986729651	-2.48505532895419	-2.48505532895419	-6.1712983225633	-5.44757735711038
Zfp534	3.0420504888922	4.49880706103774	5.91271785164962	3.0420504888922	6.15473269769381	5.43276241058005
Rpl10a	2.05659751361726	3.08489627042589	4.1560408087682	2.05659751361726	6.15396854359028	5.43276241058005
Hmga1	2.09944329515095	3.17058783349327	4.1988865903019	2.09944329515095	6.14888909062805	5.42934912581901
Nasp	2.4422095474205	3.68473721189758	5.14149378404316	2.4422095474205	6.14114865680536	5.42291540171217
Tagln	-5.05580222097576	-3.81327455649866	-2.61359267355527	-2.61359267355527	-6.12768075641139	-5.41001240659407
Acta2	-5.05580222097576	-3.77042877496499	-2.52790111048788	-2.52790111048788	-6.0647490528651	-5.3431570626892
Ldhb	2.09944329515095	3.25627939656066	4.37026971643667	2.09944329515095	6.06436898323525	5.3431570626892
Serinc1	-4.84157331330729	-3.55619986729651	-2.3993637658868	-2.3993637658868	-6.0441604722728	-5.3225722419228
r_ETnERV2-int	2.18513485821834	3.25627939656066	4.2845781533693	2.18513485821834	6.02299328592151	5.30087696996298
Bgn	-4.67019018717252	-3.55619986729651	-2.3993637658868	-2.3993637658868	-5.98410014614153	-5.25913404662273
Ctsb	-4.41311549797037	-3.34197095962804	-2.22798063975203	-2.22798063975203	-5.97631417871263	-5.25249043930377
Set	2.01375173208357	3.08489627042589	4.11319502723453	2.01375173208357	5.97279697531554	5.25064658123292
Ptrf	-4.37026971643667	-3.21343361502697	-2.18513485821834	-2.18513485821834	-5.94429186925545	-5.22054949979937
Ftl1	1.75667704288141	2.52790111048788	3.21343361502697	1.75667704288141	5.92272613403172	5.19826207581373
Acss1	2.74213001815634	4.2845781533693	5.65564316244745	2.74213001815634	5.89386705974837	5.16769111600235
Phldb2	-4.67019018717252	-3.42766252269544	-2.27082642128572	-2.27082642128572	-5.87915696289572	-5.15310550313569
r_L1VL1	2.35651798435311	3.64189143036388	4.92726487637469	2.35651798435311	5.87454845867428	5.1499369209045
Gnas	-4.1560408087682	-3.08489627042589	-2.09944329515095	-2.09944329515095	-5.86037457516268	-5.13674838557338
Pmepa1	-4.79872753177362	-3.42766252269544	-2.27082642128572	-2.27082642128572	-5.8593314056696	-5.13674838557338
Cald1	-4.97011065790839	-3.72758299343129	-2.44220954742049	-2.44220954742049	-5.8336702430862	-5.109681748315
Cxx1a	-5.44141425477901	-3.85612033803236	-2.52790111048788	-2.52790111048788	-5.80198371366283	-5.0761165319644
Fam60a	2.14228907668465	3.38481674116174	4.71303596870622	2.14228907668465	5.80057084951887	5.0761165319644
Cdkn1a	-4.2417323718356	-3.17058783349327	-2.09944329515095	-2.09944329515095	-5.79360989921972	-5.07017528232763
Cpe	-4.45596127950408	-3.29912517809435	-2.18513485821834	-2.18513485821834	-5.77496641464086	-5.05096861880515
Wisp1	-5.05580222097576	-3.77042877496499	-2.48505532895419	-2.48505532895419	-5.76444511727473	-5.04095480105261
S100a6	-5.27003112864424	-3.98465768263343	-2.65643845508896	-2.65643845508896	-5.72955339614704	-5.00325779077044
Prss23	-4.32742393490297	-3.17058783349327	-2.09944329515095	-2.09944329515095	-5.72433802693736	-4.99923328756169
Nrp1	-4.67019018717252	-3.42766252269544	-2.27082642128572	-2.27082642128572	-5.70443717516931	-4.97850945547223
Lrp1	-4.67019018717252	-3.38481674116174	-2.22798063975203	-2.22798063975203	-5.69293304547176	-4.96864382319053
Gsta4	2.18513485821834	3.51335408576281	5.22718534711053	2.18513485821834	5.69247582258354	4.96864382319053
Gtsf1l	2.74213001815634	4.2845781533693	5.65564316244745	2.74213001815634	5.67914945795421	4.95534031762524
Flrt2	-4.92726487637469	-3.59904564883022	-2.31367220281942	-2.31367220281942	-5.66395885254656	-4.93990028943162
Col6a1	-6.1269467593181	-4.37026971643667	-2.74213001815634	-2.74213001815634	-5.61945495242889	-4.89107716768227
Lox	-4.92726487637469	-3.64189143036388	-2.35651798435311	-2.35651798435311	-5.6114062256992	-4.88372444169968
Rpsa	1.75667704288141	2.74213001815634	3.72758299343129	1.75667704288141	5.60020464160573	4.87276546383718
Rpl7	1.7995228244151	2.82782158122373	3.81327455649866	1.7995228244151	5.59361752239186	4.86704907505865
Mnd1	2.52790111048788	3.98465768263343	5.52710581784638	2.52790111048788	5.57908641329051	4.85226673933091
Timp2	-4.62734440563885	-3.42766252269544	-2.22798063975203	-2.22798063975203	-5.57442311810914	-4.85038273565031
Camk2d	-5.05580222097576	-3.55619986729651	-2.27082642128572	-2.27082642128572	-5.57435265558179	-4.85038273565031
Col11a1	-5.52710581784638	-3.98465768263343	-2.3993637658868	-2.3993637658868	-5.56739553687637	-4.84419043089885
Pea15a	-4.75588175023992	-3.38481674116174	-2.18513485821834	-2.18513485821834	-5.55949736557373	-4.8369130050275
Sparc	-4.49880706103774	-3.34197095962804	-2.18513485821834	-2.18513485821834	-5.555485997394	-4.83405063231686
Lpp	-4.41311549797037	-3.21343361502697	-2.05659751361726	-2.05659751361726	-5.55275684618609	-4.83290225666875
Anxa5	-4.07034924570083	-2.9992047073585	-1.92806016901618	-1.92806016901618	-5.55126526918572	-4.83290225666875
r_Lx7	1.88521438748249	3.0420504888922	4.1560408087682	1.88521438748249	5.55005343182315	4.83290225666875
Col8a1	-4.37026971643667	-3.21343361502697	-2.09944329515095	-2.09944329515095	-5.54514033340494	-4.82896192412903
Col5a2	-4.49880706103774	-3.25627939656066	-2.09944329515095	-2.09944329515095	-5.53894663546856	-4.82355211924161
Hist1h2ao	2.4422095474205	3.68473721189758	4.84157331330729	2.4422095474205	5.53638645100639	4.82226601315657
Cdh1	3.59904564883022	5.18433956557683	6.55540457465501	3.59904564883022	5.52506769463251	4.81100016257478
Fam129b	-4.45596127950408	-3.17058783349327	-2.05659751361726	-2.05659751361726	-5.50508805932744	-4.78985876237799
Gsn	-4.45596127950408	-3.17058783349327	-2.05659751361726	-2.05659751361726	-5.49952193585589	-4.78623605691191
Rif1	2.05659751361726	3.29912517809436	4.62734440563885	2.05659751361726	5.49910921093501	4.78623605691191
Mbnl1	-4.45596127950408	-3.17058783349327	-2.05659751361726	-2.05659751361726	-5.49584404942254	-4.78409366141418
Wsb2	-4.54165284257145	-3.29912517809435	-2.14228907668465	-2.14228907668465	-5.48930990064338	-4.77821867552545
Itgb1	-4.71303596870622	-3.47050830422911	-2.27082642128572	-2.27082642128572	-5.48728905267149	-4.7774712681177
Cd44	-4.62734440563885	-3.38481674116174	-2.18513485821834	-2.18513485821834	-5.45510148556079	-4.74235539371165
Rhoq	-4.58449862410515	-3.21343361502697	-2.01375173208356	-2.01375173208356	-5.45064949356934	-4.73882202129702
Shmt1	2.18513485821834	3.51335408576281	5.39856847324531	2.18513485821834	5.43201624487408	4.71911194292236
Rpl13	1.71383126134772	2.74213001815634	3.72758299343129	1.71383126134772	5.4294494629673	4.71770921295783
Pls3	-4.2417323718356	-3.17058783349327	-2.05659751361726	-2.05659751361726	-5.42681619323647	-4.71622026568828
Hnrnpa1	1.71383126134772	2.74213001815634	3.81327455649866	1.71383126134772	5.42020636754869	4.71018802334025
Marcks	-4.2845781533693	-3.0420504888922	-1.92806016901618	-1.92806016901618	-5.40755922350458	-4.69726203046518
Slc39a6	-4.54165284257145	-3.21343361502697	-2.01375173208356	-2.01375173208356	-5.40254473037536	-4.69302997436673
Rpl8	1.62813969828033	2.65643845508896	3.64189143036388	1.62813969828033	5.3980511345378	4.68938264171082
Capn2	-4.71303596870622	-3.29912517809435	-2.09944329515095	-2.09944329515095	-5.389526580784	-4.68112927788345
Fst	-4.32742393490297	-3.12774205195958	-1.97090595054987	-1.97090595054987	-5.38719510761269	-4.67992954513293
Lamp1	-4.07034924570083	-2.95635892582481	-1.88521438748249	-1.88521438748249	-5.36447554495496	-4.65571490202669
Serpinh1	-4.11319502723453	-3.0420504888922	-1.92806016901618	-1.92806016901618	-5.36323850028558	-4.65571490202669
Cxx1b	-5.05580222097576	-3.55619986729651	-2.22798063975203	-2.22798063975203	-5.36217058440355	-4.65571490202669
Hmga2	-4.67019018717252	-3.38481674116174	-2.09944329515095	-2.09944329515095	-5.35979125517375	-4.65442669505785
Gm5643	1.67098547981402	2.69928423662265	3.72758299343129	1.67098547981402	5.35613619597396	4.65167458573894
Hist1h2bc	-4.37026971643667	-3.0420504888922	-1.92806016901618	-1.92806016901618	-5.35380731580766	-4.65042626286152
r_RLTR1B	1.88521438748249	3.08489627042589	4.37026971643667	1.88521438748249	5.3437658517538	4.64037418007018
Rps3	1.62813969828033	2.61359267355527	3.59904564883022	1.62813969828033	5.33844776530427	4.63570071546561
Col5a1	-4.2417323718356	-3.08489627042589	-1.97090595054987	-1.97090595054987	-5.33296861135672	-4.63083554738357
Timp3	-4.49880706103774	-3.25627939656066	-2.05659751361726	-2.05659751361726	-5.32660505037314	-4.62714109437824
Fbln2	-4.45596127950408	-3.25627939656066	-2.05659751361726	-2.05659751361726	-5.32646320352616	-4.62714109437824
r_RodERV21-int	2.01375173208357	3.29912517809436	4.54165284257145	2.01375173208357	5.32613205443335	4.62714109437824
Fam101b	-4.58449862410515	-3.34197095962804	-2.09944329515095	-2.09944329515095	-5.29503259460935	-4.59301754452907
Anxa1	-4.54165284257145	-3.25627939656066	-2.05659751361726	-2.05659751361726	-5.28929164843388	-4.58781478109868
Tpm4	-4.11319502723453	-2.95635892582481	-1.88521438748249	-1.88521438748249	-5.28684495344501	-4.58636498842973
F2r	-4.49880706103774	-3.21343361502697	-2.01375173208356	-2.01375173208356	-5.28393412260954	-4.58437769715719
B230120H23Rik	-4.71303596870622	-3.25627939656066	-2.01375173208356	-2.01375173208356	-5.28139268476084	-4.58280437727624
r_RLTR12B	2.01375173208357	3.25627939656066	4.41311549797037	2.01375173208357	5.27430973831698	4.57604113420754
Ctsd	-3.98465768263343	-2.91351314429112	-1.88521438748249	-1.88521438748249	-5.27281743061304	-4.57565059254656
Fam198b	-4.41311549797037	-3.12774205195958	-1.92806016901618	-1.92806016901618	-5.25944801916745	-4.56169848749824
Prnp	-4.54165284257145	-3.17058783349327	-1.97090595054987	-1.97090595054987	-5.22646620570651	-4.52532597189779
Basp1	-4.45596127950408	-3.17058783349327	-1.97090595054987	-1.97090595054987	-5.21533035960511	-4.51426722347486
Fat1	-4.02750346416713	-2.91351314429112	-1.84236860594879	-1.84236860594879	-5.21452103319188	-4.51426722347486
Igfbp7	-4.37026971643667	-3.0420504888922	-1.88521438748249	-1.88521438748249	-5.21099732432152	-4.5115274563243
Flna	-4.11319502723453	-2.9992047073585	-1.88521438748249	-1.88521438748249	-5.20071750202562	-4.5010562367845
Spnb2	-4.11319502723453	-3.0420504888922	-1.92806016901618	-1.92806016901618	-5.19453983187869	-4.49526858994024
Loxl2	-4.2845781533693	-3.0420504888922	-1.88521438748249	-1.88521438748249	-5.18519710586386	-4.48585405492381
r_RLTR16	2.09944329515095	3.55619986729651	4.97011065790839	2.09944329515095	5.16851235015227	4.46893013392901
Grb10	-4.2845781533693	-3.21343361502697	-2.09944329515095	-2.09944329515095	-5.16819649016483	-4.46893013392901
Ywhab	-4.02750346416713	-2.78497579969004	-1.75667704288141	-1.75667704288141	-5.15022481132287	-4.44961359765735
Rcn2	-4.67019018717252	-3.25627939656066	-1.97090595054987	-1.97090595054987	-5.13838248538969	-4.43730311770136
Sh3bgrl	-4.37026971643667	-3.08489627042589	-1.88521438748249	-1.88521438748249	-5.13401944180477	-4.43355343825457
Itgav	-4.1560408087682	-2.95635892582481	-1.84236860594879	-1.84236860594879	-5.13198605098827	-4.4329715170195
r_B2_Mm2	1.67098547981402	2.52790111048788	3.29912517809436	1.67098547981402	5.13134874294547	4.4329715170195
Rexo2	-5.22718534711053	-3.59904564883022	-2.18513485821834	-2.18513485821834	-5.12117659052444	-4.42254995467644
Rtn4	-3.85612033803236	-2.74213001815634	-1.71383126134772	-1.71383126134772	-5.11584597444644	-4.41766769814887
Tmed2	-4.07034924570083	-2.82782158122373	-1.71383126134772	-1.71383126134772	-5.11405417520694	-4.41752272343309
Rpl19	1.58529391674664	2.61359267355527	3.59904564883022	1.58529391674664	5.113069028294	4.41752272343309
Tnc	-4.79872753177362	-3.42766252269544	-2.09944329515095	-2.09944329515095	-5.11254645927906	-4.41752272343309
Mlec	-3.98465768263343	-2.82782158122373	-1.75667704288141	-1.75667704288141	-5.10885906861801	-4.41449922171366
Cxx1c	-5.01295643944206	-3.47050830422911	-2.09944329515095	-2.09944329515095	-5.1006805545659	-4.4063278525679
Thbs1	-5.56995159938008	-4.02750346416713	-2.35651798435311	-2.35651798435311	-5.09461963074122	-4.40068378211019
Dbn1	-4.45596127950408	-3.12774205195958	-1.92806016901618	-1.92806016901618	-5.09368177328419	-4.40068378211019
Fndc3b	-4.49880706103774	-3.12774205195958	-1.92806016901618	-1.92806016901618	-5.0858595525293	-4.3929035467413
Gm5803	2.31367220281942	3.64189143036388	4.97011065790839	2.31367220281942	5.08170072028264	4.38931287639084
Ppic	-4.32742393490297	-3.0420504888922	-1.84236860594879	-1.84236860594879	-5.07060618756553	-4.37777281071126
Ppp1r14b	-3.94181190109976	-2.69928423662265	-1.67098547981402	-1.67098547981402	-5.06920469387475	-4.3773301615597
Dhx16	1.88521438748249	3.12774205195958	4.2417323718356	1.88521438748249	5.06789892338463	4.37699134114104
Man2a1	-4.67019018717252	-3.25627939656066	-1.97090595054987	-1.97090595054987	-5.0652013953122	-4.37505308823312
Tm4sf1	-4.75588175023992	-3.25627939656066	-1.92806016901618	-1.92806016901618	-5.0630029290418	-4.37368096520166
Gpc4	-4.07034924570083	-2.87066736275743	-1.75667704288141	-1.75667704288141	-5.0433779078325	-4.35289859535125
Rpl23	1.54244813521295	2.57074689202158	3.55619986729651	1.54244813521295	5.04286908271922	4.35289859535125
Tsc22d2	-4.71303596870622	-3.38481674116174	-2.01375173208356	-2.01375173208356	-5.04112133541304	-4.35202898454651
Cyp1b1	-4.49880706103774	-3.21343361502697	-1.92806016901618	-1.92806016901618	-5.0289275579707	-4.33918575930833
Rps23	1.41391079061187	2.3993637658868	3.38481674116174	1.41391079061187	5.02057284643406	4.33073487679941
Calu	-4.07034924570083	-2.91351314429112	-1.75667704288141	-1.75667704288141	-5.01100695437423	-4.320889269812
mt-Atp8	1.62813969828033	2.78497579969004	3.98465768263343	1.62813969828033	5.00952900594441	4.32031188704539
Dctpp1	1.71383126134772	2.9992047073585	4.2417323718356	1.71383126134772	5.00770987940239	4.31933816787334
Mfge8	-4.32742393490297	-2.9992047073585	-1.7995228244151	-1.7995228244151	-5.00519423177446	-4.3175610187236
Itm2c	-4.02750346416713	-2.82782158122373	-1.75667704288141	-1.75667704288141	-5.00213969488809	-4.31516138444254
Zyx	-4.41311549797037	-3.0420504888922	-1.7995228244151	-1.7995228244151	-5.00019523682818	-4.31402927158614
Vim	-4.07034924570083	-2.95635892582481	-1.7995228244151	-1.7995228244151	-4.9816454842665	-4.29385561729466
RNA_SPIKE_3	1.54244813521295	3.0420504888922	7.2409370791941	1.54244813521295	4.97982525415497	4.29285856948656
Slc25a5	1.58529391674664	2.69928423662265	3.72758299343129	1.58529391674664	4.96051142026389	4.27178738431785
Dkc1	1.71383126134772	2.91351314429112	3.98465768263343	1.71383126134772	4.95702194548198	4.26955128609078
Lamp2	-3.98465768263343	-2.87066736275743	-1.75667704288141	-1.75667704288141	-4.95597887475137	-4.26955128609078
Unc5b	-4.1560408087682	-2.87066736275743	-1.71383126134772	-1.71383126134772	-4.9557396899678	-4.26955128609078
P4hb	-3.81327455649866	-2.69928423662265	-1.62813969828033	-1.62813969828033	-4.95088735776053	-4.26593063552469
Sdc1	-4.45596127950408	-2.9992047073585	-1.7995228244151	-1.7995228244151	-4.95072240221552	-4.26593063552469
Rpl3	1.41391079061187	2.4422095474205	3.42766252269544	1.41391079061187	4.94253131728333	4.25785767189963
Rps4y2	2.09944329515095	3.38481674116174	4.54165284257145	2.09944329515095	4.94183902147975	4.25785767189963
Reep5	-4.1560408087682	-2.87066736275743	-1.71383126134772	-1.71383126134772	-4.9401077717226	-4.25778390775064
Fstl1	-4.07034924570083	-2.9992047073585	-1.84236860594879	-1.84236860594879	-4.93994411939309	-4.25778390775064
Rps20	1.49960235367925	2.52790111048788	3.51335408576281	1.49960235367925	4.93667562138418	4.2560484714635
Serpine1	-4.92726487637469	-3.55619986729651	-2.09944329515095	-2.09944329515095	-4.93661619198537	-4.2560484714635
Arf4	-3.94181190109976	-2.69928423662265	-1.62813969828033	-1.62813969828033	-4.93309426177131	-4.25319643174476
Ckap4	-3.94181190109976	-2.78497579969004	-1.71383126134772	-1.71383126134772	-4.93201356743625	-4.25319643174476
Rps3a	1.41391079061187	2.3993637658868	3.38481674116174	1.41391079061187	4.93143557535971	4.25319643174476
Vcl	-4.2845781533693	-2.91351314429112	-1.71383126134772	-1.71383126134772	-4.9235723675169	-4.24520407195502
Aebp1	-4.88441909484099	-3.34197095962804	-1.97090595054987	-1.97090595054987	-4.91487858689091	-4.23625438281629
Itpripl2	-4.2845781533693	-2.95635892582481	-1.7995228244151	-1.7995228244151	-4.90871695738405	-4.23020342146892
Tm9sf3	-3.94181190109976	-2.74213001815634	-1.62813969828033	-1.62813969828033	-4.89613419670069	-4.21678195651218
Cxcl12	-4.75588175023992	-3.47050830422911	-2.14228907668465	-2.14228907668465	-4.89055474953127	-4.21138968590266
Stmn2	1.58529391674664	2.87066736275743	4.41311549797037	1.58529391674664	4.88846068234708	4.20999301118243
Gnl3	1.54244813521295	2.65643845508896	3.72758299343129	1.54244813521295	4.8799847029017	4.20126902961204
Ly6a	-4.49880706103774	-3.12774205195958	-1.7995228244151	-1.7995228244151	-4.87422246077786	-4.19565509326179
Adamts1	-4.97011065790839	-3.51335408576281	-2.05659751361726	-2.05659751361726	-4.87245948453972	-4.19518272751594
Dppa4	2.52790111048788	4.2845781533693	5.78418050704855	2.52790111048788	4.8720786202259	4.19518272751594
Synpo	-4.2417323718356	-2.91351314429112	-1.71383126134772	-1.71383126134772	-4.87037940105509	-4.19422066141681
Cd81	-4.11319502723453	-2.91351314429112	-1.7995228244151	-1.7995228244151	-4.86830611100753	-4.19282558201298
Dpy30	1.71383126134772	2.91351314429112	4.11319502723453	1.71383126134772	4.85668307702195	4.18046853810553
Hnrnpf	1.62813969828033	3.08489627042589	4.32742393490297	1.62813969828033	4.85005175350321	4.17383506947444
Sdpr	-4.41311549797037	-3.08489627042589	-1.7995228244151	-1.7995228244151	-4.83724929636202	-4.16011044769872
r_RLTR31A_Mm	1.71383126134772	3.0420504888922	4.37026971643667	1.71383126134772	4.83227387353872	4.15626145120548
Myl6	-3.85612033803236	-2.65643845508896	-1.58529391674664	-1.58529391674664	-4.83220505748536	-4.15626145120548
Emp1	-4.11319502723453	-2.95635892582481	-1.75667704288141	-1.75667704288141	-4.82538228208749	-4.14939214087021
Serpine2	-4.67019018717252	-3.38481674116174	-2.01375173208356	-2.01375173208356	-4.82060602119142	-4.14486984494272
Flnb	-4.07034924570083	-2.78497579969004	-1.62813969828033	-1.62813969828033	-4.80800948469528	-4.13135757240059
Col4a2	-4.41311549797037	-3.17058783349327	-1.92806016901618	-1.92806016901618	-4.8062001236396	-4.13090594572915
Ahcy	1.62813969828033	2.9992047073585	4.2417323718356	1.62813969828033	4.80594982484138	4.13090594572915
Calr	-3.85612033803236	-2.74213001815634	-1.67098547981402	-1.67098547981402	-4.8030033380454	-4.12847237897248
Cdca7	2.14228907668465	4.45596127950408	6.04125519625069	2.14228907668465	4.79975320896617	4.12568662888139
